electricity_kwh,diesel_litres,petrol_distance_km,diesel_distance_km,ev_electricity_kwh,college_bus_distance_km,public_bus_passenger_km,motorcycle_passenger_km,auto_passenger_km,bicycle_passenger_km,walking_passenger_km,waste_landfill_kg,compost_waste_kg,water_consumption_m3,methane_kg,nitrous_oxide_kg
27876.23,93.86,308.45,104.77,38.97,173.66,3709.94,3151.43,221.2,75.29,71.78,498.68,62.63,1361.98,5.6,0.25
21006.02,73.41,110.83,90.01,15.26,137.31,2560.27,1280.79,613.76,29.21,151.02,591.85,104.83,1195.31,5.62,0.57
26602.52,106.69,130.83,185.74,35.01,250.28,5844.05,2012.96,575.95,202.35,18.34,591.46,70.19,1301.67,7.82,0.46
27661.42,96.46,221.9,244.92,27.22,162.33,2844.83,1678.48,486.86,218.98,73.3,821.32,162.93,1020.0,2.6,0.32
26894.87,99.74,204.04,119.11,36.05,148.77,6487.03,818.95,423.36,219.97,164.34,563.23,86.02,1308.93,6.77,0.68
26683.81,88.42,359.21,233.1,12.51,125.03,5554.95,2255.54,214.13,198.45,62.67,514.46,92.23,1526.38,7.07,0.78
26955.69,92.98,456.47,82.58,13.28,141.26,4109.13,930.65,719.93,75.28,180.01,474.26,30.01,1002.07,8.9,0.32
27427.66,112.52,319.0,224.19,16.47,205.19,4612.01,2018.82,348.53,58.4,167.15,657.22,69.64,1394.8,8.0,0.71
20432.61,62.93,141.32,173.44,4.56,134.79,1519.73,2574.13,430.48,151.51,39.48,473.44,63.2,1134.42,2.81,0.16
26857.06,109.83,256.96,151.09,36.99,256.91,5597.42,2673.73,851.18,215.59,228.19,802.92,106.25,1282.67,9.96,0.59
27280.53,87.23,373.73,138.22,33.4,190.35,2125.1,1620.65,704.45,75.1,213.64,502.57,89.87,1314.75,8.68,0.73
27437.76,97.73,162.18,160.71,24.93,128.49,4748.4,2355.26,886.0,101.32,222.7,488.61,30.05,924.31,8.03,0.78
27306.85,72.84,134.98,232.31,33.59,129.67,4586.39,2951.27,233.53,158.76,34.68,680.44,97.18,1292.21,6.1,0.35
27205.72,106.39,247.23,146.95,39.04,257.08,4740.46,1484.98,234.79,82.71,172.43,759.5,58.53,1088.21,5.41,0.3
26485.12,109.61,273.15,175.14,39.62,198.83,3801.75,3091.11,801.13,158.76,262.18,653.52,91.4,1181.73,8.08,0.33
